전용면적,층,지하철역,지하철거리,환율,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),일일가격
114.92,14,신금호역,358.1312622656157,1185.5,47,17,24,13,392.9343565790587,32.083333333333336
27.27,7,상왕십리역,329.285131747168,1185.5,18,7,4,16,155.76315185597636,1.2065972222222223
84.87999999999998,15,버티고개역,153.7732236879109,1190.8,30,13,28,6,38.78579684636771,37.534722222222214
84.9791,9,충정로(경기대입구)역,546.5467807347819,1190.8,47,20,55,4,161.22384425777142,27.777777777777782
59.94,16,버티고개역,153.7732236879109,1194.3,30,13,28,6,38.78579684636771,20.201388888888886
22.67,2,충정로(경기대입구)역,169.5458754048524,1194.3,90,31,86,5,152.21828755716365,12.840277777777779
21.45,10,동대문역사문화공원역,356.66310340976054,1198.2,91,35,49,30,133.71080905767624,10.173611111111109
147.3212,3,신당역,117.13990056099556,1198.2,42,14,17,30,190.9665407319669,34.375
59.7,17,충정로(경기대입구)역,86.42285253868776,1199.6,73,29,74,4,66.59799483216813,16.861111111111114
15.55,8,신당역,76.31378679879745,1199.6,52,17,26,31,102.6009616168716,10.086805555555555
158.97,8,명동역,325.43124752086374,1199.6,175,51,123,11,53.1320517975455,121.66666666666667
114.88,6,버티고개역,153.7732236879109,1199.6,30,13,28,6,38.78579684636771,18.51388888888889
114.9,28,신설동역,533.615752338311,1199.6,21,7,4,23,99.42774589932525,26.708333333333332
71.9832,6,서울역,376.5303456813306,1199.6,67,24,65,4,37.0031250698845,20.708333333333332
84.87999999999998,13,신금호역,358.1312622656157,1199.6,47,17,24,13,392.9343565790587,30.868055555555546
71.93,16,충무로역,197.7903468724876,1202.4,129,37,71,25,65.48284525938637,17.534722222222218
43.056,5,충정로(경기대입구)역,200.555682270846,1202.4,102,32,89,7,114.02735679071988,12.902777777777779
84.95,5,청구역,148.0705761514984,1202.4,63,20,29,31,70.23484133934264,45.03472222222222
84.95,5,청구역,148.0705761514984,1202.4,63,20,29,31,70.23484133934264,44.25347222222222
32.67,7,신금호역,358.1312622656157,1202.4,47,17,24,13,392.9343565790587,2.5170138888888887
57.63,7,신금호역,358.1312622656157,1202.4,47,17,24,13,392.9343565790587,21.666666666666668
32.67,7,신금호역,358.1312622656157,1202.4,47,17,24,13,392.9343565790587,2.5734375000000003
84.87999999999998,14,버티고개역,153.7732236879109,1202.4,30,13,28,6,38.78579684636771,9.51388888888889
84.87999999999998,14,버티고개역,153.7732236879109,1202.4,30,13,28,6,38.78579684636771,9.51388888888889
39.9541,-3,충정로(경기대입구)역,570.352209953056,1202.4,39,20,55,4,201.7103826031684,3.3814236111111113
84.92,27,신설동역,533.615752338311,1202.4,21,7,4,23,99.42774589932525,34.20138888888888
116.11,24,서울역,300.40511873242406,1202.4,115,37,95,8,83.49973589710727,78.47222222222221
32.67,9,신금호역,358.1312622656157,1200.0,47,17,24,13,392.9343565790587,2.5170138888888887
32.67,9,신금호역,358.1312622656157,1200.0,47,17,24,13,392.9343565790587,1.2706597222222222
59.94,7,버티고개역,153.7732236879109,1200.0,30,13,28,6,38.78579684636771,8.125
13.8874,7,시청역,300.9137610337463,1200.0,143,42,101,11,230.68420809566103,14.6875
84.97199999999998,18,충정로(경기대입구)역,546.5467807347819,1200.0,47,20,55,4,161.22384425777142,37.01388888888888
19.6,17,신당역,174.3397765958725,1200.0,42,14,17,30,87.4723582497348,15.173611111111114
57.63,19,신금호역,358.1312622656157,1195.2,47,17,24,13,392.9343565790587,9.895833333333334
84.87999999999998,11,버티고개역,153.7732236879109,1195.2,30,13,28,6,38.78579684636771,25.569444444444443
71.93,5,충무로역,197.7903468724876,1195.2,129,37,71,25,65.48284525938637,17.013888888888886
84.95999999999998,6,청구역,148.0705761514984,1195.2,63,20,29,31,70.23484133934264,43.40277777777778
