역명,역사위치경도,역사위치위도
선학역,126.698863,37.426684
문학경기장역,126.698579,37.434935
인천터미널역,126.699706,37.442383
예술회관역,126.701012,37.449396
인천시청역,126.702143,37.457263
간석오거리역,126.707938,37.467048
부평삼거리역,126.710208,37.477679
동수역,126.718247,37.485312
부평역,126.723453,37.490535
부평시장역,126.722244,37.498383
부평구청역,126.720555,37.508407
갈산역,126.721514,37.517268
작전역,126.722527,37.530415
경인교대입구역,126.722597,37.538157
계산역,126.728128,37.543238
임학역,126.738665,37.545059
박촌역,126.745077,37.553703
귤현역,126.742654,37.566379
계양역,126.73578,37.571449
남위례역,127.13977,37.4624
모란역,127.129837,37.433824
수진역,127.140722,37.437428
신흥역,127.147564,37.440918
단대오거리역,127.156866,37.44521
남한산성입구(성남법원.검찰청)역,127.159816,37.451535
산성역,127.149908,37.457122
복정역,127.126732,37.471052
장지역,127.126191,37.478703
문정역,127.1225,37.485855
가락시장역,127.118398,37.492888
송파역,127.112183,37.499703
석촌역,127.106832,37.505557
잠실(송파구청)역,127.104338,37.514692
몽촌토성(평화의문)역,127.112359,37.517409
강동구청역,127.120508,37.530341
천호(풍납토성)역,127.123254,37.538113
암사역,127.127562,37.55021
부평구청역,126.721599,37.507394
굴포천역,126.73128,37.506997
삼산체육관역,126.742153,37.506411
상동역,126.753083,37.505781
부천시청역,126.763538,37.504631
신중동역,126.77596,37.503048
춘의역,126.787036,37.503663
부천종합운동장역,126.797337,37.50538
까치울역,126.810939,37.506207
온수(성공회대입구)역,126.823023,37.492092
천왕역,126.838713,37.486637
광명사거리역,126.854876,37.479252
철산역,126.867911,37.47605
가산디지털단지역,126.882656,37.480338
남구로역,126.887249,37.486056
대림(구로구청)역,126.897075,37.493013
신풍역,126.90993,37.50008
보라매역,126.920428,37.499872
신대방삼거리역,126.928276,37.499701
장승배기역,126.93915,37.504898
상도역,126.94791,37.502834
숭실대입구(살피재)역,126.953822,37.496029
남성역,126.971251,37.484596
이수역,126.981605,37.485196
내방역,126.993513,37.487618
고속터미널역,127.005068,37.503367
반포역,127.011727,37.508178
논현역,127.021415,37.511093
학동역,127.031656,37.514229
강남구청역,127.041255,37.517179
청담역,127.05335,37.519365
뚝섬유원지역,127.066704,37.53154
건대입구역,127.071011,37.540786
어린이대공원(세종대)역,127.074658,37.548014
군자(능동)역,127.079338,37.556897
중곡역,127.08432,37.565923
용마산역,127.086727,37.573647
사가정역,127.088478,37.580894
면목역,127.087503,37.588579
상봉(시외버스터미널)역,127.085716,37.595577
중화역,127.079264,37.602545
먹골역,127.077725,37.610637
태릉입구역,127.075397,37.618294
공릉(서울과학기술대)역,127.072896,37.625742
하계역,127.06799,37.636352
중계역,127.064303,37.644583
노원역,127.060462,37.654836
마들역,127.057675,37.66494
수락산역,127.055315,37.67785
도봉산역,127.046509,37.689241
장암역,127.053196,37.700109
신내역,127.102231,37.613174
봉화산(서울의료원)역,127.091401,37.617283
화랑대(서울여대입구)역,127.084689,37.620064
태릉입구역,127.074735,37.617338
석계역,127.065595,37.614872
돌곶이역,127.056431,37.610537
상월곡(한국과학기술연구원)역,127.048491,37.606377
월곡(동덕여대)역,127.041518,37.601948
고려대(종암)역,127.036296,37.590508
안암(고대병원앞)역,127.029005,37.586272
보문역,127.019351,37.585274
창신역,127.015241,37.579661
동묘앞역,127.015653,37.572279
