분류1,명칭,도로명 주소,분류2,분류3,위도,경도
문화공간(볼거리),장충단 공원 ,중구 동호로 257-10,문화공간,공원,37.5525369,127.0124355
문화공간(볼거리),정동공원 ,중구 정동길 21-18,문화공간,공원,37.5665663,126.9709728
문화공간(볼거리),충현 어린이공원,중구 동호로11차길 1,문화공간,공원,37.552248,127.0048081
문화공간(볼거리),한빛미디어파크 문화공원,중구 남대문로10길 29,문화공간,공원,37.5679769,126.9857576
문화공간(볼거리),황학 어린이공원 ,중구 다산로48길 33,문화공간,공원,37.5673882,127.0182446921106
문화공간(볼거리),훈련원공원,중구 을지로 227,문화공간,공원,37.565877,126.9802901
문화공간(볼거리),고당기념관,중구 수표로 48-2,문화공간,기념관,37.567547,126.9896042
문화공간(볼거리),류관순 기념관,중구 통일로4길 30-1,문화공간,기념관,37.5651973,126.9683956
문화공간(볼거리),한국현대 문학관 ,중구 동호로 268,문화공간,전시장,37.5525369,127.0124355
문화공간(볼거리),덕수궁 미술관 ,중구 세종대로 99,문화공간,전시장,37.56633145,126.9738997632125
문화공간(볼거리),서울시립미술관 ,중구 덕수궁길 61  ,문화공간,전시장,37.56415985,126.9738078103755
문화공간(볼거리),우표문화누리,중구 소공로 70,문화공간,전시장,37.56161555,126.9821585093408
문화공간(볼거리),조선일보 미술관,중구 세종대로21길 30,문화공간,전시장,37.5676145,126.9757627
