단지명,전용면적,위도,경도,지하철역까지(m),환율,맛집,문화공간,문화재,쇼핑,버스정류장까지(m),버스정류장,금리,보증금고려월세,지하철역,소비자물가지수,종합주가지수,주택담보대출금리,예측일일가격,예측월세가격,기존월세가격,월수입차액,주소
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1265.7,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,1.75,153.75,신금호역,107.56,2628.34,3.03,36.074875,378.78616,153.75,225.03616333007807,서울특별시 중구 신당동
래미안하이베르,84.97,37.56103798,127.0209858,524.9534945,1302.7,44,15,23,27,264.0077329,동화동,2.25,152.25,신당역,108.74,2362.79,3.17,35.7657,375.53986,152.25,223.28985595703125,서울특별시 중구 신당동
청구e편한세상,84.95,37.55996016,127.015451,148.0705762,1205.4,63,20,29,31,70.23484134,청구역,1.25,158.8125,청구역,105.3,2724.02,2.88,36.196796,380.06638,158.8125,221.25387573242188,서울특별시 중구 신당동
약수(372-2796),65.02,37.55376893,127.0108054,67.60227851,1432.1,54,20,30,10,75.75270809,약수역8번출구.신당사회복지관,3.0,95.0,약수역,109.21,2230.27,3.52,29.7121,311.97705,95.0,216.97705078125,서울특별시 중구 신당동
삼성,114.91,37.55853588,127.0184475,472.8633598,1220.6,55,17,24,29,25.03257628,신당동삼성아파트.금호여중,1.25,147.5,신금호역,106.06,2698.72,2.93,34.620327,363.51346,147.5,216.01345825195312,서울특별시 중구 신당동
aaa,75.45,37.56744648,127.0165271,147.34852,1196.4,42,14,17,30,121.0655538,성동공업고등학교(무궁화회관),1.25,165.2083333,신당역,105.3,2724.02,2.88,36.26706,380.8041,165.2083333,215.59577436601563,서울특별시 중구 흥인동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1190.4,30,13,28,6,38.78579685,버티고개,1.25,152.0833333,버티고개역,104.69,2865.55,2.82,34.78307,365.22223,152.0833333,213.13889570390623,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1195.2,30,13,28,6,38.78579685,버티고개,1.25,153.4166667,버티고개역,104.69,2865.55,2.82,34.78307,365.22223,153.4166667,211.80556230390624,서울특별시 중구 신당동
삼성사이버빌리지,84.95,37.55892666,126.9643209,86.42285254,1299.8,73,29,74,4,66.59799483,종근당.충정로역,2.25,157.5,충정로(경기대입구)역,108.74,2362.79,3.17,35.147217,369.04578,157.5,211.5457763671875,서울특별시 중구 중림동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1274.6,30,13,28,6,38.78579685,버티고개,1.75,165.2916667,버티고개역,107.56,2628.34,3.03,35.831486,376.2306,165.2916667,210.9389241203125,서울특별시 중구 신당동
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1190.4,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,1.25,155.4166667,신금호역,104.69,2865.55,2.82,34.87234,366.1596,155.4166667,210.7429402335937,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1265.7,30,13,28,6,38.78579685,버티고개,1.75,165.8333333,버티고개역,107.56,2628.34,3.03,35.85289,376.45532,165.8333333,210.621988965625,서울특별시 중구 신당동
약수하이츠,57.63,37.5551916,127.0163594,358.1312623,1199.6,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,1.25,62.375,신금호역,105.3,2724.02,2.88,25.885824,271.80115,62.375,209.4261474609375,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1238.4,30,13,28,6,38.78579685,버티고개,1.75,170.2916667,버티고개역,108.74,2474.95,3.1,36.016747,378.17584,170.2916667,207.88417558515624,서울특별시 중구 신당동
롯데캐슬,59.94,37.57081055,127.0214639,533.6157523,1194.7,21,7,4,23,99.4277459,황학동롯데캐슬,1.25,63.75,신설동역,105.3,2724.02,2.88,25.847467,271.3984,63.75,207.64840698242188,서울특별시 중구 황학동
