정류장번호,정류장명,정류장_위도,정류장_경도,geometry,구
SEB101000125,청계8가.영도교,37.5706509,127.0188253,POINT (127.0188253 37.5706509),중구
SEB101000128,신한은행본점,37.5611965,126.9755852,POINT (126.9755852 37.5611965),중구
SEB101000130,동대문역사문화공원,37.5654113,127.0091092,POINT (127.0091092 37.5654113),중구
SEB101000131,버티고개,37.5478041,127.0060242,POINT (127.0060242 37.5478041),중구
SEB101000132,버티고개,37.5474977,127.0058182,POINT (127.0058182 37.5474977),중구
SEB101000135,청계3가.세운교,37.5682058,126.9938077,POINT (126.9938077 37.5682058),중구
SEB101000136,청계6가.오간수교,37.5694851,127.0090361,POINT (127.0090361 37.5694851),중구
SEB101000137,충무로역.매일경제,37.5616905,126.9933889,POINT (126.9933889 37.5616905),중구
SEB101000141,을지로입구역.광교,37.5675576,126.9824738,POINT (126.9824738 37.5675576),중구
SEB101000147,신당파인힐하나유보라,37.564939,127.0247418,POINT (127.0247418 37.564939),중구
SEB101000148,명동입구,37.5647338,126.9825731,POINT (126.9825731 37.5647338),중구
SEB101000149,남산북측순환로입구,37.5506986,126.9988218,POINT (126.9988218 37.5506986),중구
SEB101000150,신당동삼성아파트.금호여중,37.5585545,127.0187298,POINT (127.0187298 37.5585545),중구
SEB101000151,신당동대우푸르지오.금호여중,37.5579233,127.0191882,POINT (127.0191882 37.5579233),중구
SEB101000152,황학동주민센터,37.5668556,127.0234023,POINT (127.0234023 37.5668556),중구
SEB101000153,신당초등학교앞,37.5644766,127.0238272,POINT (127.0238272 37.5644766),중구
SEB101000154,금호베스트빌.래미안하이베르,37.5615288,127.0239892,POINT (127.0239892 37.5615288),중구
SEB101000155,금호베스트빌.래미안하이베르,37.5622544,127.0243472,POINT (127.0243472 37.5622544),중구
SEB101000156,신당초등학교,37.5645028,127.0242404,POINT (127.0242404 37.5645028),중구
SEB101000157,서대문경찰서.농협은행.유관순활동터,37.5652819,126.9675115,POINT (126.9675115 37.5652819),중구
SEB101000163,방산종합시장,37.5678058,127.0019301,POINT (127.0019301 37.5678058),중구
SEB101000164,황학동롯데캐슬,37.5715126,127.022163,POINT (127.022163 37.5715126),중구
SEB101000165,광희문.광희동사거리,37.5645499,127.008611,POINT (127.008611 37.5645499),중구
SEB101000166,광희문.광희동사거리,37.5643254,127.0094396,POINT (127.0094396 37.5643254),중구
SEB101000168,황학동롯데캐슬,37.5709448,127.0232394,POINT (127.0232394 37.5709448),중구
SEB101000173,남대문시장,37.561317,126.9788338,POINT (126.9788338 37.561317),중구
SEB101000230,서울역,37.5578195,126.9728595,POINT (126.9728595 37.5578195),중구
SEB101000234,명동역.세종호텔,37.5610964,126.9865842,POINT (126.9865842 37.5610964),중구
SEB101000244,충무로역.호텔피제이,37.561718,126.9955605,POINT (126.9955605 37.561718),중구
SEB101000245,남대문시장,37.5609673,126.9787309,POINT (126.9787309 37.5609673),중구
SEB101000246,이비스엠버서더호텔,37.5646093,126.9826126,POINT (126.9826126 37.5646093),중구
SEB101000254,한국은행.신세계앞,37.5614081,126.9792899,POINT (126.9792899 37.5614081),중구
SEB101000255,토요코인호텔.이비스버젯호텔,37.5645913,127.0089472,POINT (127.0089472 37.5645913),중구
SEB101000256,을지로코업레지던스,37.5662333,127.0053974,POINT (127.0053974 37.5662333),중구
SEB101000257,아카시아호텔.웨스턴코업레지던스,37.5665506,127.0034786,POINT (127.0034786 37.5665506),중구
SEB101000258,서울기동대.광희초등학교,37.5678671,127.0145727,POINT (127.0145727 37.5678671),중구
SEB101000261,동대문디자인플라자,37.5677007,127.0119962,POINT (127.0119962 37.5677007),중구
SEB101000262,서대문역사거리.농협중앙회,37.5669222,126.9678855,POINT (126.9678855 37.5669222),중구
SEB101000263,서울스퀘어앞,37.5553416,126.9732317,POINT (126.9732317 37.5553416),중구
SEB101000265,힐튼호텔,37.5566267,126.9767113,POINT (126.9767113 37.5566267),중구
SEB101000266,힐튼호텔,37.5561983,126.9766258,POINT (126.9766258 37.5561983),중구
SEB101000268,숭례문라마다&스위트호텔,37.5606109,126.9720684,POINT (126.9720684 37.5606109),중구
SEB101000269,서울역,37.5580158,126.9720456,POINT (126.9720456 37.5580158),중구
SEB101000270,남산밀레니엄힐튼호텔,37.5554665,126.9759752,POINT (126.9759752 37.5554665),중구
SEB101000271,약수역,37.5537889,127.0098978,POINT (127.0098978 37.5537889),중구
SEB101000273,동국대입구앰배서더호텔,37.5597717,127.0026102,POINT (127.0026102 37.5597717),중구
SEB101000275,광화문코리아나호텔,37.5684226,126.976776,POINT (126.976776 37.5684226),중구
SEB101000276,서소문KAL빌딩,37.5634526,126.9746302,POINT (126.9746302 37.5634526),중구
SEB101000277,을지로입구역롯데호텔,37.5658047,126.9803053,POINT (126.9803053 37.5658047),중구
SEB101000279,시청역더플라자호텔,37.5641561,126.9779059,POINT (126.9779059 37.5641561),중구
SEB101000289,동대문역사문화공원,37.5653851,127.009245,POINT (127.009245 37.5653851),중구
SEB101000290,시청앞.덕수궁,37.5662122,126.9768355,POINT (126.9768355 37.5662122),중구
SEB101000293,장충문화체육센터.권기옥활동터,37.5601745,127.0025921,POINT (127.0025921 37.5601745),중구
SEB101000294,약수역1번출구,37.5564084,127.0096865,POINT (127.0096865 37.5564084),중구
SEB101000295,약수역10번출구,37.556256,127.009322,POINT (127.009322 37.556256),중구
SEB101000296,동대문디자인플라자DDP,37.568139,127.0094145,POINT (127.0094145 37.568139),중구
SEB101000297,광희동더스프라지르서울동대문,37.5645013,127.0073707,POINT (127.0073707 37.5645013),중구
SEB101000298,소공동웨스틴조선호텔,37.5642485,126.9796853,POINT (126.9796853 37.5642485),중구
SEB101000299,베이튼호텔,37.5649993,127.0026364,POINT (127.0026364 37.5649993),중구
SEB101000300,장충동써미트호텔,37.5624042,127.0067839,POINT (127.0067839 37.5624042),중구
SEB101000301,서울광장,37.5652072,126.978763,POINT (126.978763 37.5652072),중구
SEB101000308,동대문디자인프라자,37.5677625,127.0091304,POINT (127.0091304 37.5677625),중구
SEB101000309,방산.중부시장,37.5668568,126.9994422,POINT (126.9994422 37.5668568),중구
SEB101000310,을지로3가,37.5665349,126.9923255,POINT (126.9923255 37.5665349),중구
SEB101000311,을지로입구,37.5661309,126.9810013,POINT (126.9810013 37.5661309),중구
SEB101000312,명동입구,37.5641874,126.9823773,POINT (126.9823773 37.5641874),중구
SEB101000314,신당동중앙시장,37.5657553,127.0194166,POINT (127.0194166 37.5657553),중구
SEB101000315,남산오르미,37.558194,126.9831348,POINT (126.9831348 37.558194),중구
SEB101000316,광화문,37.5689378,126.9767086,POINT (126.9767086 37.5689378),중구
SEB101000317,덕수궁,37.5655845,126.9767268,POINT (126.9767268 37.5655845),중구
SEB101000318,남대문시장,37.5609231,126.9753967,POINT (126.9753967 37.5609231),중구
SEB101000319,명동,37.5607583,126.9856194,POINT (126.9856194 37.5607583),중구
SEB101000320,남산골한옥마을,37.560995,126.9924383,POINT (126.9924383 37.560995),중구
SEB101000321,앰버서더호텔,37.5604635,127.0026253,POINT (127.0026253 37.5604635),중구
SEB101000322,신라호텔,37.5583034,127.0054272,POINT (127.0054272 37.5583034),중구
SEB101000323,남산서울타워,37.5511419,126.9909861,POINT (126.9909861 37.5511419),중구
SEB101000324,동대문디자인플라자.동대문시장,37.5668754,127.0085549,POINT (127.0085549 37.5668754),중구
SEB101000325,서울애니메이션센터,37.558513,126.9872529,POINT (126.9872529 37.558513),중구
SEB101000326,남산케이블카,37.5551172,126.9836038,POINT (126.9836038 37.5551172),중구
SEB101000328,남산1호터널,37.5574051,126.9921666,POINT (126.9921666 37.5574051),중구
SEB101000331,남산예장버스환승주차장,37.5593717,126.9891487,POINT (126.9891487 37.5593717),중구
SEB101900003,한국경제신문사,37.5609334,126.9679526,POINT (126.9679526 37.5609334),중구
SEB101900004,염천교,37.5597519,126.9709923,POINT (126.9709923 37.5597519),중구
SEB101900005,신당역하나은행,37.5653637,127.0217523,POINT (127.0217523 37.5653637),중구
SEB101900006,프레스센터,37.5673567,126.9774317,POINT (126.9774317 37.5673567),중구
SEB101900007,숭례문앞,37.5626476,126.9767498,POINT (126.9767498 37.5626476),중구
