이름,최대인원,침실,침대,욕실,가격,detail내용,위도,경도,geometry,지하철까지거리m,지하철역,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,1000버퍼,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑
WECOSTAY Myeongdong B,2,1,1,1.0,105000,퀸사이즈 침대 1개,37.563297,126.998434,POINT (955703.8471960555 1951666.896506659),370.0759769565462,을지로4가역,127.67719892052246,퇴계로5가,"POLYGON ((956703.8471960555 1951666.896506659, 956699.0319227277 1951568.8793663294, 956684.6324764587 1951471.806184643, 956660.7875317876 1951376.6118294045, 956627.7267285667 1951284.213074294, 956585.7684604038 1951195.499769833, 956535.316808358 1951111.3262736395, 956476.8576494182 1951032.5032224953, 956410.953977242 1950959.7897254725, 956338.2404802191 1950893.8860532963, 956259.4174290751 1950835.4268943565, 956175.2439328815 1950784.9752423107, 956086.5306284205 1950743.0169741476, 955994.13187331 1950709.9561709268, 955898.9375180716 1950686.1112262558, 955801.864336385 1950671.7117799867, 955703.8471960555 1950666.896506659, 955605.8300557259 1950671.7117799867, 955508.7568740393 1950686.1112262558, 955413.562518801 1950709.9561709268, 955321.1637636904 1950743.0169741476, 955232.4504592294 1950784.9752423107, 955148.2769630358 1950835.4268943565, 955069.4539118918 1950893.8860532963, 954996.7404148689 1950959.7897254725, 954930.8367426927 1951032.5032224953, 954872.377583753 1951111.3262736395, 954821.9259317071 1951195.499769833, 954779.9676635442 1951284.213074294, 954746.9068603233 1951376.6118294045, 954723.0619156522 1951471.806184643, 954708.6624693832 1951568.8793663294, 954703.8471960555 1951666.896506659, 954708.6624693832 1951764.9136469886, 954723.0619156522 1951861.986828675, 954746.9068603233 1951957.1811839135, 954779.9676635442 1952049.579939024, 954821.9259317071 1952138.293243485, 954872.377583753 1952222.4667396785, 954930.8367426927 1952301.2897908227, 954996.7404148689 1952374.0032878455, 955069.4539118918 1952439.9069600217, 955148.2769630358 1952498.3661189615, 955232.4504592294 1952548.8177710073, 955321.1637636904 1952590.7760391703, 955413.562518801 1952623.8368423912, 955508.7568740393 1952647.6817870622, 955605.8300557259 1952662.0812333312, 955703.8471960555 1952666.896506659, 955801.864336385 1952662.0812333312, 955898.9375180716 1952647.6817870622, 955994.13187331 1952623.8368423912, 956086.5306284205 1952590.7760391703, 956175.2439328815 1952548.8177710073, 956259.4174290751 1952498.3661189615, 956338.2404802191 1952439.9069600217, 956410.953977242 1952374.0032878455, 956476.8576494182 1952301.2897908227, 956535.316808358 1952222.4667396785, 956585.7684604038 1952138.293243485, 956627.7267285667 1952049.579939024, 956660.7875317876 1951957.1811839135, 956684.6324764587 1951861.986828675, 956699.0319227277 1951764.9136469886, 956703.8471960555 1951666.896506659))",60,20,34,9
"복층, 루프탑 바베큐, 2021년 리모델링, 패밀리분리형 객실",4,2,3,1.0,134343,"싱글 침대 2개, 퀸사이즈 침대 1개",37.556232,126.984005,POINT (954425.2279428847 1950889.9692569925),566.3677695372743,명동역,128.70777784886587,남산케이블카,"POLYGON ((955425.2279428847 1950889.9692569925, 955420.4126695569 1950791.9521166629, 955406.0132232879 1950694.8789349764, 955382.1682786169 1950599.684579738, 955349.1074753959 1950507.2858246274, 955307.149207233 1950418.5725201664, 955256.6975551872 1950334.399023973, 955198.2383962474 1950255.5759728288, 955132.3347240712 1950182.862475806, 955059.6212270483 1950116.9588036297, 954980.7981759043 1950058.49964469, 954896.6246797107 1950008.0479926441, 954807.9113752497 1949966.089724481, 954715.5126201392 1949933.0289212603, 954620.3182649008 1949909.1839765892, 954523.2450832142 1949894.7845303202, 954425.2279428847 1949889.9692569925, 954327.2108025551 1949894.7845303202, 954230.1376208685 1949909.1839765892, 954134.9432656302 1949933.0289212603, 954042.5445105196 1949966.089724481, 953953.8312060586 1950008.0479926441, 953869.657709865 1950058.49964469, 953790.834658721 1950116.9588036297, 953718.1211616981 1950182.862475806, 953652.217489522 1950255.5759728288, 953593.7583305822 1950334.399023973, 953543.3066785363 1950418.5725201664, 953501.3484103734 1950507.2858246274, 953468.2876071525 1950599.684579738, 953444.4426624815 1950694.8789349764, 953430.0432162124 1950791.9521166629, 953425.2279428847 1950889.9692569925, 953430.0432162124 1950987.986397322, 953444.4426624815 1951085.0595790085, 953468.2876071525 1951180.253934247, 953501.3484103734 1951272.6526893575, 953543.3066785363 1951361.3659938185, 953593.7583305822 1951445.539490012, 953652.217489522 1951524.3625411561, 953718.1211616981 1951597.076038179, 953790.834658721 1951662.9797103552, 953869.657709865 1951721.438869295, 953953.8312060586 1951771.8905213408, 954042.5445105196 1951813.8487895038, 954134.9432656302 1951846.9095927246, 954230.1376208685 1951870.7545373957, 954327.2108025551 1951885.1539836647, 954425.2279428847 1951889.9692569925, 954523.2450832142 1951885.1539836647, 954620.3182649008 1951870.7545373957, 954715.5126201392 1951846.9095927246, 954807.9113752497 1951813.8487895038, 954896.6246797107 1951771.8905213408, 954980.7981759043 1951721.438869295, 955059.6212270483 1951662.9797103552, 955132.3347240712 1951597.076038179, 955198.2383962474 1951524.3625411561, 955256.6975551872 1951445.539490012, 955307.149207233 1951361.3659938185, 955349.1074753959 1951272.6526893575, 955382.1682786169 1951180.253934247, 955406.0132232879 1951085.0595790085, 955420.4126695569 1950987.986397322, 955425.2279428847 1950889.9692569925))",81,22,46,8
#urbanstay #명동역 5분 # 힙지로 #취사OK #장기 #단기,2,1,1,1.0,104546,더블 침대 1개,37.563857,126.992264,POINT (955159.2713033087 1951731.951710823),276.40378463771077,을지로3가역,93.95308969680418,초동,"POLYGON ((956159.2713033087 1951731.951710823, 956154.4560299809 1951633.9345704934, 956140.0565837119 1951536.861388807, 956116.2116390408 1951441.6670335685, 956083.1508358199 1951349.268278458, 956041.192567657 1951260.554973997, 955990.7409156112 1951176.3814778035, 955932.2817566714 1951097.5584266593, 955866.3780844952 1951024.8449296365, 955793.6645874723 1950958.9412574603, 955714.8415363283 1950900.4820985205, 955630.6680401347 1950850.0304464747, 955541.9547356737 1950808.0721783116, 955449.5559805632 1950775.0113750908, 955354.3616253248 1950751.1664304198, 955257.2884436382 1950736.7669841507, 955159.2713033087 1950731.951710823, 955061.2541629791 1950736.7669841507, 954964.1809812925 1950751.1664304198, 954868.9866260542 1950775.0113750908, 954776.5878709436 1950808.0721783116, 954687.8745664826 1950850.0304464747, 954603.701070289 1950900.4820985205, 954524.878019145 1950958.9412574603, 954452.1645221221 1951024.8449296365, 954386.260849946 1951097.5584266593, 954327.8016910062 1951176.3814778035, 954277.3500389603 1951260.554973997, 954235.3917707974 1951349.268278458, 954202.3309675765 1951441.6670335685, 954178.4860229054 1951536.861388807, 954164.0865766364 1951633.9345704934, 954159.2713033087 1951731.951710823, 954164.0865766364 1951829.9688511526, 954178.4860229054 1951927.042032839, 954202.3309675765 1952022.2363880775, 954235.3917707974 1952114.635143188, 954277.3500389603 1952203.348447649, 954327.8016910062 1952287.5219438425, 954386.260849946 1952366.3449949867, 954452.1645221221 1952439.0584920095, 954524.878019145 1952504.9621641857, 954603.701070289 1952563.4213231255, 954687.8745664826 1952613.8729751713, 954776.5878709436 1952655.8312433343, 954868.9866260542 1952688.8920465552, 954964.1809812925 1952712.7369912262, 955061.2541629791 1952727.1364374952, 955159.2713033087 1952731.951710823, 955257.2884436382 1952727.1364374952, 955354.3616253248 1952712.7369912262, 955449.5559805632 1952688.8920465552, 955541.9547356737 1952655.8312433343, 955630.6680401347 1952613.8729751713, 955714.8415363283 1952563.4213231255, 955793.6645874723 1952504.9621641857, 955866.3780844952 1952439.0584920095, 955932.2817566714 1952366.3449949867, 955990.7409156112 1952287.5219438425, 956041.192567657 1952203.348447649, 956083.1508358199 1952114.635143188, 956116.2116390408 1952022.2363880775, 956140.0565837119 1951927.042032839, 956154.4560299809 1951829.9688511526, 956159.2713033087 1951731.951710823))",80,25,37,9
𝗨𝗿𝗯𝗮𝗻𝘀𝘁𝗮𝘆 명동역 5분 · 힙지로 속 편안함 #취사OK,2,1,1,1.0,104546,더블 침대 1개,37.56253,126.992389,POINT (955169.5155725636 1951584.6681126796),192.3954734788526,충무로역,110.83112691397919,초동,"POLYGON ((956169.5155725636 1951584.6681126796, 956164.7002992359 1951486.65097235, 956150.3008529668 1951389.5777906636, 956126.4559082958 1951294.383435425, 956093.3951050749 1951201.9846803145, 956051.436836912 1951113.2713758536, 956000.9851848661 1951029.09787966, 955942.5260259263 1950950.274828516, 955876.6223537502 1950877.561331493, 955803.9088567273 1950811.657659317, 955725.0858055833 1950753.1985003771, 955640.9123093897 1950702.7468483313, 955552.1990049287 1950660.7885801683, 955459.8002498181 1950627.7277769474, 955364.6058945798 1950603.8828322764, 955267.5327128932 1950589.4833860074, 955169.5155725636 1950584.6681126796, 955071.498432234 1950589.4833860074, 954974.4252505475 1950603.8828322764, 954879.2308953091 1950627.7277769474, 954786.8321401986 1950660.7885801683, 954698.1188357376 1950702.7468483313, 954613.945339544 1950753.1985003771, 954535.1222884 1950811.657659317, 954462.4087913771 1950877.561331493, 954396.5051192009 1950950.274828516, 954338.0459602611 1951029.09787966, 954287.5943082153 1951113.2713758536, 954245.6360400524 1951201.9846803145, 954212.5752368314 1951294.383435425, 954188.7302921604 1951389.5777906636, 954174.3308458914 1951486.65097235, 954169.5155725636 1951584.6681126796, 954174.3308458914 1951682.6852530092, 954188.7302921604 1951779.7584346957, 954212.5752368314 1951874.9527899341, 954245.6360400524 1951967.3515450447, 954287.5943082153 1952056.0648495057, 954338.0459602611 1952140.2383456992, 954396.5051192009 1952219.0613968433, 954462.4087913771 1952291.7748938662, 954535.1222884 1952357.6785660423, 954613.945339544 1952416.137724982, 954698.1188357376 1952466.589377028, 954786.8321401986 1952508.547645191, 954879.2308953091 1952541.6084484118, 954974.4252505475 1952565.4533930828, 955071.498432234 1952579.8528393519, 955169.5155725636 1952584.6681126796, 955267.5327128932 1952579.8528393519, 955364.6058945798 1952565.4533930828, 955459.8002498181 1952541.6084484118, 955552.1990049287 1952508.547645191, 955640.9123093897 1952466.589377028, 955725.0858055833 1952416.137724982, 955803.9088567273 1952357.6785660423, 955876.6223537502 1952291.7748938662, 955942.5260259263 1952219.0613968433, 956000.9851848661 1952140.2383456992, 956051.436836912 1952056.0648495057, 956093.3951050749 1951967.3515450447, 956126.4559082958 1951874.9527899341, 956150.3008529668 1951779.7584346957, 956164.7002992359 1951682.6852530092, 956169.5155725636 1951584.6681126796))",81,25,43,8
[urbanstay] #고층배정 #명동역 5분 # 힙지로 #취사OK #장기 #단기,2,1,1,1.0,119538,더블 침대 1개,37.562185,126.994024,POINT (955313.7081438804 1951545.613450436),83.90334009906356,충무로역,78.49100930623742,충무로역.매일경제,"POLYGON ((956313.7081438804 1951545.613450436, 956308.8928705526 1951447.5963101063, 956294.4934242836 1951350.5231284199, 956270.6484796125 1951255.3287731814, 956237.5876763916 1951162.9300180709, 956195.6294082287 1951074.2167136099, 956145.1777561828 1950990.0432174164, 956086.7185972431 1950911.2201662723, 956020.8149250669 1950838.5066692494, 955948.101428044 1950772.6029970732, 955869.2783769 1950714.1438381334, 955785.1048807064 1950663.6921860876, 955696.3915762454 1950621.7339179246, 955603.9928211349 1950588.6731147037, 955508.7984658965 1950564.8281700327, 955411.7252842099 1950550.4287237637, 955313.7081438804 1950545.613450436, 955215.6910035508 1950550.4287237637, 955118.6178218642 1950564.8281700327, 955023.4234666259 1950588.6731147037, 954931.0247115153 1950621.7339179246, 954842.3114070543 1950663.6921860876, 954758.1379108607 1950714.1438381334, 954679.3148597167 1950772.6029970732, 954606.6013626938 1950838.5066692494, 954540.6976905176 1950911.2201662723, 954482.2385315779 1950990.0432174164, 954431.786879532 1951074.2167136099, 954389.8286113691 1951162.9300180709, 954356.7678081482 1951255.3287731814, 954332.9228634771 1951350.5231284199, 954318.5234172081 1951447.5963101063, 954313.7081438804 1951545.613450436, 954318.5234172081 1951643.6305907655, 954332.9228634771 1951740.703772452, 954356.7678081482 1951835.8981276904, 954389.8286113691 1951928.296882801, 954431.786879532 1952017.010187262, 954482.2385315779 1952101.1836834555, 954540.6976905176 1952180.0067345996, 954606.6013626938 1952252.7202316225, 954679.3148597167 1952318.6239037986, 954758.1379108607 1952377.0830627384, 954842.3114070543 1952427.5347147842, 954931.0247115153 1952469.4929829473, 955023.4234666259 1952502.553786168, 955118.6178218642 1952526.3987308391, 955215.6910035508 1952540.7981771082, 955313.7081438804 1952545.613450436, 955411.7252842099 1952540.7981771082, 955508.7984658965 1952526.3987308391, 955603.9928211349 1952502.553786168, 955696.3915762454 1952469.4929829473, 955785.1048807064 1952427.5347147842, 955869.2783769 1952377.0830627384, 955948.101428044 1952318.6239037986, 956020.8149250669 1952252.7202316225, 956086.7185972431 1952180.0067345996, 956145.1777561828 1952101.1836834555, 956195.6294082287 1952017.010187262, 956237.5876763916 1951928.296882801, 956270.6484796125 1951835.8981276904, 956294.4934242836 1951740.703772452, 956308.8928705526 1951643.6305907655, 956313.7081438804 1951545.613450436))",82,23,40,7
어반스테이: 명동의 사랑스러운 프라이빗 스튜디오,2,1,1,1.0,114569,퀸사이즈 침대 1개,37.562903,126.992304,POINT (955162.2321595968 1951626.0911294532),226.11505348455182,충무로역,86.68036872360817,초동,"POLYGON ((956162.2321595968 1951626.0911294532, 956157.416886269 1951528.0739891236, 956143.01744 1951431.000807437, 956119.1724953289 1951335.8064521987, 956086.111692108 1951243.407697088, 956044.1534239451 1951154.694392627, 955993.7017718992 1951070.5208964336, 955935.2426129595 1950991.6978452895, 955869.3389407833 1950918.9843482666, 955796.6254437604 1950853.0806760904, 955717.8023926164 1950794.6215171507, 955633.6288964228 1950744.1698651048, 955544.9155919618 1950702.2115969418, 955452.5168368513 1950669.150793721, 955357.3224816129 1950645.30584905, 955260.2492999263 1950630.906402781, 955162.2321595968 1950626.0911294532, 955064.2150192672 1950630.906402781, 954967.1418375806 1950645.30584905, 954871.9474823422 1950669.150793721, 954779.5487272317 1950702.2115969418, 954690.8354227707 1950744.1698651048, 954606.6619265771 1950794.6215171507, 954527.8388754331 1950853.0806760904, 954455.1253784102 1950918.9843482666, 954389.221706234 1950991.6978452895, 954330.7625472943 1951070.5208964336, 954280.3108952484 1951154.694392627, 954238.3526270855 1951243.407697088, 954205.2918238646 1951335.8064521987, 954181.4468791935 1951431.000807437, 954167.0474329245 1951528.0739891236, 954162.2321595968 1951626.0911294532, 954167.0474329245 1951724.1082697827, 954181.4468791935 1951821.1814514692, 954205.2918238646 1951916.3758067077, 954238.3526270855 1952008.7745618182, 954280.3108952484 1952097.4878662792, 954330.7625472943 1952181.6613624727, 954389.221706234 1952260.4844136168, 954455.1253784102 1952333.1979106397, 954527.8388754331 1952399.1015828159, 954606.6619265771 1952457.5607417556, 954690.8354227707 1952508.0123938015, 954779.5487272317 1952549.9706619645, 954871.9474823422 1952583.0314651853, 954967.1418375806 1952606.8764098564, 955064.2150192672 1952621.2758561254, 955162.2321595968 1952626.0911294532, 955260.2492999263 1952621.2758561254, 955357.3224816129 1952606.8764098564, 955452.5168368513 1952583.0314651853, 955544.9155919618 1952549.9706619645, 955633.6288964228 1952508.0123938015, 955717.8023926164 1952457.5607417556, 955796.6254437604 1952399.1015828159, 955869.3389407833 1952333.1979106397, 955935.2426129595 1952260.4844136168, 955993.7017718992 1952181.6613624727, 956044.1534239451 1952097.4878662792, 956086.111692108 1952008.7745618182, 956119.1724953289 1951916.3758067077, 956143.01744 1951821.1814514692, 956157.416886269 1951724.1082697827, 956162.2321595968 1951626.0911294532))",81,25,43,9
[저층특가] #urbanstay #레지던스 #취사가능 #장기투숙 #명동 #충무로,2,1,1,1.0,85000,더블 침대 1개,37.565337,126.993172,POINT (955240.3474387934 1951895.7174356056),158.09285344340176,을지로3가역,152.54327040892736,을지로3가,"POLYGON ((956240.3474387934 1951895.7174356056, 956235.5321654656 1951797.700295276, 956221.1327191966 1951700.6271135896, 956197.2877745256 1951605.432758351, 956164.2269713046 1951513.0340032405, 956122.2687031417 1951424.3206987795, 956071.8170510959 1951340.147202586, 956013.3578921561 1951261.324151442, 955947.4542199799 1951188.610654419, 955874.7407229571 1951122.7069822429, 955795.917671813 1951064.247823303, 955711.7441756194 1951013.7961712573, 955623.0308711585 1950971.8379030942, 955530.6321160479 1950938.7770998734, 955435.4377608096 1950914.9321552024, 955338.364579123 1950900.5327089333, 955240.3474387934 1950895.7174356056, 955142.3302984638 1950900.5327089333, 955045.2571167772 1950914.9321552024, 954950.0627615389 1950938.7770998734, 954857.6640064283 1950971.8379030942, 954768.9507019673 1951013.7961712573, 954684.7772057737 1951064.247823303, 954605.9541546297 1951122.7069822429, 954533.2406576069 1951188.610654419, 954467.3369854307 1951261.324151442, 954408.8778264909 1951340.147202586, 954358.4261744451 1951424.3206987795, 954316.4679062822 1951513.0340032405, 954283.4071030612 1951605.432758351, 954259.5621583902 1951700.6271135896, 954245.1627121211 1951797.700295276, 954240.3474387934 1951895.7174356056, 954245.1627121211 1951993.7345759352, 954259.5621583902 1952090.8077576216, 954283.4071030612 1952186.00211286, 954316.4679062822 1952278.4008679707, 954358.4261744451 1952367.1141724316, 954408.8778264909 1952451.2876686251, 954467.3369854307 1952530.1107197693, 954533.2406576069 1952602.8242167921, 954605.9541546297 1952668.7278889683, 954684.7772057737 1952727.187047908, 954768.9507019673 1952777.638699954, 954857.6640064283 1952819.596968117, 954950.0627615389 1952852.6577713378, 955045.2571167772 1952876.5027160088, 955142.3302984638 1952890.9021622778, 955240.3474387934 1952895.7174356056, 955338.364579123 1952890.9021622778, 955435.4377608096 1952876.5027160088, 955530.6321160479 1952852.6577713378, 955623.0308711585 1952819.596968117, 955711.7441756194 1952777.638699954, 955795.917671813 1952727.187047908, 955874.7407229571 1952668.7278889683, 955947.4542199799 1952602.8242167921, 956013.3578921561 1952530.1107197693, 956071.8170510959 1952451.2876686251, 956122.2687031417 1952367.1141724316, 956164.2269713046 1952278.4008679707, 956197.2877745256 1952186.00211286, 956221.1327191966 1952090.8077576216, 956235.5321654656 1951993.7345759352, 956240.3474387934 1951895.7174356056))",79,21,29,6
"♥명동역3분♥ 아늑하고 편한 모임+ 감성유닛 T5 in 명동 (방역완료, 살균ing)",4,1,2,1.0,100000,더블 침대 2개,37.561527,126.984009,POINT (954428.8062648134 1951477.4206594666),213.16014140392522,명동역,82.22558812200978,퇴계로2가.명동역,"POLYGON ((955428.8062648134 1951477.4206594666, 955423.9909914857 1951379.403519137, 955409.5915452166 1951282.3303374506, 955385.7466005456 1951187.1359822121, 955352.6857973246 1951094.7372271016, 955310.7275291617 1951006.0239226406, 955260.2758771159 1950921.850426447, 955201.8167181761 1950843.027375303, 955135.913046 1950770.31387828, 955063.1995489771 1950704.410206104, 954984.3764978331 1950645.9510471642, 954900.2030016395 1950595.4993951183, 954811.4896971785 1950553.5411269553, 954719.0909420679 1950520.4803237345, 954623.8965868296 1950496.6353790634, 954526.823405143 1950482.2359327944, 954428.8062648134 1950477.4206594666, 954330.7891244838 1950482.2359327944, 954233.7159427973 1950496.6353790634, 954138.5215875589 1950520.4803237345, 954046.1228324483 1950553.5411269553, 953957.4095279874 1950595.4993951183, 953873.2360317938 1950645.9510471642, 953794.4129806497 1950704.410206104, 953721.6994836269 1950770.31387828, 953655.7958114507 1950843.027375303, 953597.3366525109 1950921.850426447, 953546.8850004651 1951006.0239226406, 953504.9267323022 1951094.7372271016, 953471.8659290812 1951187.1359822121, 953448.0209844102 1951282.3303374506, 953433.6215381412 1951379.403519137, 953428.8062648134 1951477.4206594666, 953433.6215381412 1951575.4377997962, 953448.0209844102 1951672.5109814827, 953471.8659290812 1951767.7053367211, 953504.9267323022 1951860.1040918317, 953546.8850004651 1951948.8173962927, 953597.3366525109 1952032.9908924862, 953655.7958114507 1952111.8139436303, 953721.6994836269 1952184.5274406532, 953794.4129806497 1952250.4311128294, 953873.2360317938 1952308.8902717691, 953957.4095279874 1952359.341923815, 954046.1228324483 1952401.300191978, 954138.5215875589 1952434.3609951988, 954233.7159427973 1952458.2059398699, 954330.7891244838 1952472.605386139, 954428.8062648134 1952477.4206594666, 954526.823405143 1952472.605386139, 954623.8965868296 1952458.2059398699, 954719.0909420679 1952434.3609951988, 954811.4896971785 1952401.300191978, 954900.2030016395 1952359.341923815, 954984.3764978331 1952308.8902717691, 955063.1995489771 1952250.4311128294, 955135.913046 1952184.5274406532, 955201.8167181761 1952111.8139436303, 955260.2758771159 1952032.9908924862, 955310.7275291617 1951948.8173962927, 955352.6857973246 1951860.1040918317, 955385.7466005456 1951767.7053367211, 955409.5915452166 1951672.5109814827, 955423.9909914857 1951575.4377997962, 955428.8062648134 1951477.4206594666))",140,34,76,11
WECOSTAY Myeongdong C 퀸+싱글(3인가능),3,1,2,1.0,125000,,37.561801,126.99784,POINT (955650.5005045871 1951501.2030371737),335.44991963489696,충무로역,121.93905900831751,충무로역8번출구.대한극장앞,"POLYGON ((956650.5005045871 1951501.2030371737, 956645.6852312593 1951403.1858968441, 956631.2857849903 1951306.1127151577, 956607.4408403193 1951210.9183599192, 956574.3800370983 1951118.5196048087, 956532.4217689354 1951029.8063003477, 956481.9701168896 1950945.6328041542, 956423.5109579498 1950866.80975301, 956357.6072857736 1950794.0962559872, 956284.8937887507 1950728.192583811, 956206.0707376067 1950669.7334248712, 956121.8972414131 1950619.2817728254, 956033.1839369521 1950577.3235046624, 955940.7851818416 1950544.2627014415, 955845.5908266032 1950520.4177567705, 955748.5176449167 1950506.0183105015, 955650.5005045871 1950501.2030371737, 955552.4833642575 1950506.0183105015, 955455.4101825709 1950520.4177567705, 955360.2158273326 1950544.2627014415, 955267.817072222 1950577.3235046624, 955179.103767761 1950619.2817728254, 955094.9302715674 1950669.7334248712, 955016.1072204234 1950728.192583811, 954943.3937234005 1950794.0962559872, 954877.4900512244 1950866.80975301, 954819.0308922846 1950945.6328041542, 954768.5792402388 1951029.8063003477, 954726.6209720758 1951118.5196048087, 954693.5601688549 1951210.9183599192, 954669.7152241839 1951306.1127151577, 954655.3157779148 1951403.1858968441, 954650.5005045871 1951501.2030371737, 954655.3157779148 1951599.2201775033, 954669.7152241839 1951696.2933591898, 954693.5601688549 1951791.4877144282, 954726.6209720758 1951883.8864695388, 954768.5792402388 1951972.5997739998, 954819.0308922846 1952056.7732701933, 954877.4900512244 1952135.5963213374, 954943.3937234005 1952208.3098183603, 955016.1072204234 1952274.2134905364, 955094.9302715674 1952332.6726494762, 955179.103767761 1952383.124301522, 955267.817072222 1952425.082569685, 955360.2158273326 1952458.143372906, 955455.4101825709 1952481.988317577, 955552.4833642575 1952496.387763846, 955650.5005045871 1952501.2030371737, 955748.5176449167 1952496.387763846, 955845.5908266032 1952481.988317577, 955940.7851818416 1952458.143372906, 956033.1839369521 1952425.082569685, 956121.8972414131 1952383.124301522, 956206.0707376067 1952332.6726494762, 956284.8937887507 1952274.2134905364, 956357.6072857736 1952208.3098183603, 956423.5109579498 1952135.5963213374, 956481.9701168896 1952056.7732701933, 956532.4217689354 1951972.5997739998, 956574.3800370983 1951883.8864695388, 956607.4408403193 1951791.4877144282, 956631.2857849903 1951696.2933591898, 956645.6852312593 1951599.2201775033, 956650.5005045871 1951501.2030371737))",60,20,40,8
SSH_Dongdaemun Basic Room(5_2) 06 / 여행은 살아보는거야,3,1,2,1.0,58000,,37.565017,127.002082,POINT (956027.0360095991 1951856.008623045),291.61813016735067,동대문역사문화공원역,49.019914439717375,베이튼호텔,"POLYGON ((957027.0360095991 1951856.008623045, 957022.2207362714 1951757.9914827154, 957007.8212900023 1951660.918301029, 956983.9763453313 1951565.7239457904, 956950.9155421103 1951473.3251906799, 956908.9572739474 1951384.611886219, 956858.5056219016 1951300.4383900254, 956800.0464629618 1951221.6153388813, 956734.1427907856 1951148.9018418584, 956661.4292937628 1951082.9981696822, 956582.6062426188 1951024.5390107424, 956498.4327464252 1950974.0873586966, 956409.7194419642 1950932.1290905336, 956317.3206868536 1950899.0682873128, 956222.1263316153 1950875.2233426417, 956125.0531499287 1950860.8238963727, 956027.0360095991 1950856.008623045, 955929.0188692695 1950860.8238963727, 955831.945687583 1950875.2233426417, 955736.7513323446 1950899.0682873128, 955644.352577234 1950932.1290905336, 955555.639272773 1950974.0873586966, 955471.4657765795 1951024.5390107424, 955392.6427254354 1951082.9981696822, 955319.9292284126 1951148.9018418584, 955254.0255562364 1951221.6153388813, 955195.5663972966 1951300.4383900254, 955145.1147452508 1951384.611886219, 955103.1564770879 1951473.3251906799, 955070.0956738669 1951565.7239457904, 955046.2507291959 1951660.918301029, 955031.8512829269 1951757.9914827154, 955027.0360095991 1951856.008623045, 955031.8512829269 1951954.0257633745, 955046.2507291959 1952051.098945061, 955070.0956738669 1952146.2933002994, 955103.1564770879 1952238.69205541, 955145.1147452508 1952327.405359871, 955195.5663972966 1952411.5788560645, 955254.0255562364 1952490.4019072086, 955319.9292284126 1952563.1154042315, 955392.6427254354 1952629.0190764077, 955471.4657765795 1952687.4782353474, 955555.639272773 1952737.9298873933, 955644.352577234 1952779.8881555563, 955736.7513323446 1952812.9489587771, 955831.945687583 1952836.7939034482, 955929.0188692695 1952851.1933497172, 956027.0360095991 1952856.008623045, 956125.0531499287 1952851.1933497172, 956222.1263316153 1952836.7939034482, 956317.3206868536 1952812.9489587771, 956409.7194419642 1952779.8881555563, 956498.4327464252 1952737.9298873933, 956582.6062426188 1952687.4782353474, 956661.4292937628 1952629.0190764077, 956734.1427907856 1952563.1154042315, 956800.0464629618 1952490.4019072086, 956858.5056219016 1952411.5788560645, 956908.9572739474 1952327.405359871, 956950.9155421103 1952238.69205541, 956983.9763453313 1952146.2933002994, 957007.8212900023 1952051.098945061, 957022.2207362714 1951954.0257633745, 957027.0360095991 1951856.008623045))",54,14,30,26
