단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,금리,보증금고려월세
서울역센트럴자이,84.9918,2022-01-01,17,1000.0,60,12,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/17,1187.6,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,1.25,61.04166666666666
충무로헤센스마트,19.76,2022-01-01,17,1000.0,79,4,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/17,1187.6,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가,1.25,80.04166666666667
충무로헤센스마트,19.76,2022-01-01,17,1000.0,80,4,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/17,1187.6,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가,1.25,81.04166666666667
남산타운(임대),32.76,2022-01-01,17,2955.0,6,18,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/17,1187.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,1.25,9.078125
덕수궁롯데캐슬,116.5445,2022-01-01,17,100000.0,120,17,37.5637084894676,126.970042986983,서대문역,377.9433754112008,173,2022/01/17,1187.6,16,14,29,0,140,40,99,9,109.10882594405582,경찰청.동북아역사재단,1.25,224.16666666666669
동대문솔하임,17.67,2022-01-01,18,1000.0,85,20,37.5677165362185,127.016348082451,신당역,174.3397765958725,165,2022/01/18,1192.3,8,4,1,11,42,14,17,30,87.4723582497348,성동공업고등학교(무궁화회관),1.25,86.04166666666667
리마크빌동대문,29.63,2022-01-01,18,1500.0,95,12,37.565794853643695,127.016623843671,신당역,58.061356897640906,140,2022/01/18,1192.3,10,5,0,10,43,14,17,31,187.3336720760136,신당역.중앙시장앞,1.25,96.5625
이지마루오장,14.49,2022-01-01,18,2000.0,60,10,37.5643884715851,127.00195688803,동대문역사문화공원역,301.609724702947,262,2022/01/18,1192.3,24,3,7,3,91,35,49,30,90.55520884320347,베이튼호텔,1.25,62.083333333333336
신당푸르지오,59.85,2022-01-01,18,20000.0,100,11,37.559864671246096,127.019034279491,청구역,453.60316695705785,100,2022/01/18,1192.3,2,0,1,0,55,15,24,29,62.12000897583936,동화동,1.25,120.83333333333331
서울역센트럴자이(임대),47.4739,2022-01-01,18,4127.0,18,2,37.5545760844191,126.963956968884,충정로(경기대입구)역,570.352209953056,100,2022/01/18,1192.3,1,2,3,0,39,20,55,4,201.7103826031684,손기정체육공원입구,1.25,22.29895833333333
더플레이스충정로,17.04,2022-01-01,18,1000.0,70,6,37.558980785321,126.966068233101,충정로(경기대입구)역,169.5458754048524,129,2022/01/18,1192.3,10,4,16,0,90,31,86,5,152.21828755716365,종근당.충정로역,1.25,71.04166666666667
롯데캐슬,84.89,2022-01-01,18,40000.0,130,17,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/18,1192.3,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,1.25,171.66666666666666
남산롯데캐슬아이리스,113.46,2022-01-01,18,20000.0,213,11,37.5582247092319,126.981744459746,회현(남대문시장)역,310.7749620679906,333,2022/01/18,1192.3,27,7,12,5,163,48,118,11,85.65990388873333,남산3호터널,1.25,233.83333333333331
롯데캐슬,84.97,2022-01-01,18,3000.0,180,18,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/18,1192.3,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,1.25,183.125
서울역센트럴자이,84.9918,2022-01-01,19,5000.0,50,13,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/19,1188.9,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,1.25,55.208333333333336
롯데캐슬,59.91,2022-01-01,19,20000.0,75,26,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/19,1188.9,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,1.25,95.83333333333331
래미안하이베르,59.95,2022-01-01,19,50000.0,50,13,37.5610379790132,127.020985832433,신당역,524.9534945478343,88,2022/01/19,1188.9,7,0,1,0,44,15,23,27,264.0077328980435,동화동,1.25,102.08333333333334
