분류1,명칭,도로명 주소,분류2,분류3,위도,경도
맛집,KR명동삼계탕,중구 명동8나길 49,맛집,한식,37.5612835,126.9831326
맛집,가나안뼈해장국,중구 다산로 131,맛집,한식,37.5507793,127.0076435
맛집,가능골명가,중구 중림로 10,맛집,한식,37.558289,126.9666258
맛집,강남오리감자탕,중구 다산로 216,맛집,한식,37.5507793,127.0076435
맛집,강호동백점(명동점),중구 명동10길 19-3,맛집,한식,37.5631893,126.9855903
맛집,거북이등,중구 퇴계로88길 20,맛집,한식,37.5654717,127.021413
맛집,경복궁,중구 마른내로 6,맛집,한식,37.5644364,127.0048558
맛집,고궁,중구 명동8가길 37,맛집,한식,37.5617876,126.9866639
맛집,고기사랑,중구 을지로44길 17-8,맛집,한식,37.5654071,127.0065184
맛집,고려삼계탕,중구 서소문로11길 1,맛집,한식,37.5642501,126.9728393
맛집,고상,중구 을지로5길 26,맛집,한식,37.5667526,126.9844846
맛집,고향집,중구 퇴계로 325-6,맛집,한식,37.5610864,126.9921994
맛집,곰국시집,중구 무교로 24,맛집,한식,37.5675475,126.9791037
맛집,곰솥집,중구 명동3길 36,맛집,한식,37.56531255,126.9837006856618
맛집,광개토,중구 삼일대로 341,맛집,한식,37.5589046,126.9918561
맛집,광동수산,중구 다산로 236,맛집,한식,37.5507793,127.0076435
맛집,광화문두부촌,중구 세종대로21길 49,맛집,한식,37.5676145,126.9757627
맛집,구팡돌할매보쌈,중구 덕수궁길 7,맛집,한식,37.56468945,126.9762984501155
맛집,군산오징어,중구 명동10길 35-9,맛집,한식,37.5631893,126.9855903
맛집,권가명가,중구 을지로43길 38,맛집,한식,37.567008,127.0071137
맛집,금강보글보글섞어찌개,중구 명동7가길 20-8,맛집,한식,37.56476865,126.9833081551567
맛집,금문,중구 정동길 6-1,맛집,한식,37.5665663,126.9709728
맛집,나도향,중구 명동2길 8,맛집,한식,37.5621072,126.982687
맛집,낙동강,중구 을지로1길 32-3,맛집,한식,37.5678831,126.9798119
맛집,남문토방,중구 남대문시장길 73-5,맛집,한식,37.5606992,126.9800531
맛집,남산설렁탕,중구 소파로 91,맛집,한식,37.5567111,126.9849311349628
맛집,남원정,중구 세종대로 135-7,맛집,한식,37.560605,126.9756327
