분류1,명칭,도로명 주소,분류2,분류3,위도,경도
문화재,균역청 터(均役廳址),중구 퇴계로 173,문화재,문화유적/동상,37.5596957,126.9809292
문화재,김범우의 집 터,중구 을지로 66,문화재,문화유적/동상,37.565877,126.9802901
문화재,김용환지사 상 ,중구 장충단로 59,문화재,문화유적/동상,37.5601768,127.005621
문화재,김유신장군 상 ,중구 소월로 39-2,문화재,문화유적/동상,37.5589351,126.9758598
문화재,김익상의사 의거 터 (金益相義士義擧址),중구 소파로 126,문화재,문화유적/동상,37.55614,126.97913
문화재,나석주(羅錫疇)의사 의거 기념터,중구 을지로 66,문화재,문화유적/동상,37.565877,126.9802901
문화재,나석주열사 상,중구 을지로 66  ,문화재,문화유적/동상,37.565877,126.9802901
문화재,남별궁 터(南別宮址),중구 소공로 106,문화재,문화유적/동상,37.5650076,126.9796692988889
문화재,읍백당 터,중구 퇴계로26가길 6,문화재,문화유적/동상,37.5588706,126.9909141
문화재,이덕형선생 집터(李德馨先生家址),중구 퇴계로 18,문화재,문화유적/동상,37.5628723,127.0009324
문화재,이문 터(里門址),중구 세종대로 55,문화재,문화유적/동상,37.5616867,126.974898
문화재,이벽의 집터,종로구 청계천로 105,문화재,문화유적/동상,37.5704549,127.0174273
문화재,이재명의사 의거터 (李在明義士義擧址),중구 명동길 74,문화재,문화유적/동상,37.5633619,126.9860183448659
문화재,이충순 자결 터 (李忠純自決址),중구 서소문로 88,문화재,문화유적/동상,37.5615397,126.9681288
문화재,이한응선생 기념비,중구 동호로 261 ,문화재,문화유적/동상,37.5525369,127.0124355
문화재,이황선생 집터(二黃先生家址),중구 덕수궁길 61,문화재,문화유적/동상,37.56415985,126.9738078103755
문화재,이회영?이시영 6형제 집터,중구 명동길 73,문화재,문화유적/동상,37.564327,126.9860873
문화재,일석 이희승선생 추모비 ,중구 퇴계로34길 28,문화재,문화유적/동상,37.5592839,126.9944767
문화재,일성 이준열사 상,중구 동호로 261 ,문화재,문화유적/동상,37.5525369,127.0124355
문화재,장악원터(掌樂院址),중구 을지로 66,문화재,문화유적/동상,37.565877,126.9802901
문화재,장충단 터(奬忠壇址),중구 동호로 261,문화재,문화유적/동상,37.5525369,127.0124355
문화재,저경궁 터(儲慶宮址),중구 남대문로 39,문화재,문화유적/동상,37.5604407,126.9759197
문화재,전환국 터(典局址),중구 세종대로 55,문화재,문화유적/동상,37.5616867,126.974898
문화재,정광필 집터(鄭光弼家址),중구 소공로 51,문화재,문화유적/동상,37.5649179,126.9782113
문화재,정미의병 발원터(丁未義兵發源地),중구 세종대로9길 42,문화재,문화유적/동상,37.5623581,126.9734229
문화재,제중원 터(濟衆院址),중구 을지로 66,문화재,문화유적/동상,37.565877,126.9802901
문화재,조선광문회 터(朝鮮光文會址),중구 남대문로10길 29,문화재,문화유적/동상,37.5679769,126.9857576
문화재,조지훈 시비,중구 예장동 남산공원길 507,문화재,문화유적/동상,37.5545516,126.9934129
문화재,조택원 춤비 ,중구 장충단로 59 ,문화재,문화유적/동상,37.5601768,127.005621
문화재,주자소 터(鑄字所址),중구 퇴계로 173,문화재,문화유적/동상,37.5596957,126.9809292
문화재,진고개(泥峴),중구 명동8가길 32,문화재,문화유적/동상,37.5617876,126.9866639
문화재,춘강 박승희 기념비 ,중구 장충동 장충단로 59 ,문화재,문화유적/동상,37.5601768,127.005621
문화재,충무공 이순신 생가 터,중구 마른내로 47,문화재,문화유적/동상,37.5643193,126.9973687
문화재,칠패시장 터(七牌市場址),중구 칠패로 36,문화재,문화유적/동상,37.5594426,126.9689088
문화재,태평관 터(太平館址),중구 서소문 58-17 ,문화재,문화유적/동상,37.5630361,126.9740274
문화재,통감부 터(統監府址),중구 퇴계로18길,문화재,문화유적/동상,37.5606428,126.9857103
문화재,팔홍문 터(八紅門址),중구 칠패로,문화재,문화유적/동상,37.5594426,126.9689088
문화재,풀무재(冶峴),중구 퇴계로50길 13,문화재,문화유적/동상,37.5616318,127.0018387
문화재,하도감 터(下都監址),중구 을지로 281,문화재,문화유적/동상,37.56706855,127.0098989856509
문화재,학생 반공의 탑 ,중구 장충단로 72 ,문화재,문화유적/동상,37.5601768,127.005621
문화재,한국 유림 독립운동파리장서비,중구 동호로 261 ,문화재,문화유적/동상,37.5525369,127.0124355
문화재,한성부 남부 관아터 (漢城府南部官衙址),중구 남대문로 81,문화재,문화유적/동상,37.56485565,126.9817065329031
문화재,한성부 서부 관아터 (漢城府西部官衙址),중구 청계천로 14,문화재,문화유적/동상,37.5679375,126.9876113
문화재,혜민서 터(惠民署址),중구 삼일대로 356,문화재,문화유적/동상,37.5589046,126.9918561
문화재,회동서관 터(匯東書館址),중구 청계천로 54,문화재,문화유적/동상,37.56806324999999,126.9836215495773
문화재,훈련원 터(訓練院址),중구 을지로 245,문화재,문화유적/동상,37.565877,126.9802901
문화재,경운궁 양이재(慶運宮養怡齋),중구 세종대로21길 15,문화재,유형/등록문화재,37.56693485,126.97542675
문화재,경운궁 양이재(慶運宮養怡齋),중구 세종대로19길 16,문화재,유형/등록문화재,37.5666738,126.9757189
문화재,경희궁 숭정전(慶喜宮崇政殿),중구 필동로1길 30,문화재,유형/등록문화재,37.5569913,126.9994892
문화재,구 대법원 청사(舊大法院廳舍),중구 덕수궁길 61  ,문화재,유형/등록문화재,37.56415985,126.9738078103755
문화재,구 미국문화원(舊美國文化院),중구 을지로 23,문화재,유형/등록문화재,37.5662965,126.980390852549
문화재,남산사 터(南山寺址),중구 필동로6길 17,문화재,문화유적/동상,37.5553151,126.9956202
문화재,남소문 터(南小門址),중구 장충단로 60,문화재,문화유적/동상,37.5601768,127.005621
문화재,남지 터(南池址),중구 칠패로 42,문화재,문화유적/동상,37.559468,126.9735552
문화재,남학당 터(南學堂址),중구 퇴계로 188,문화재,문화유적/동상,37.5608707,126.9925155032007
문화재,노인정 터(老人亭址),중구 필동로6길 30,문화재,문화유적/동상,37.5553151,126.9956202
문화재,대한민국임시정부서울연통부지 (大韓民國臨時政府서울聯通府址),중구 서소문로9길 14,문화재,문화유적/동상,37.56343,126.9697083
문화재,도화서 터(圖畵署址),중구 을지로 51,문화재,문화유적/동상,37.565877,126.9802901
문화재,독립신문사 터(獨立新聞社址),중구 서소문로11길 19,문화재,문화유적/동상,37.5642501,126.9728393
문화재,동악선생 시단,중구  필동로1길 30 ,문화재,문화유적/동상,37.5569913,126.9994892
문화재,동양극장 터(東洋劇場址),중구 새문안로 24,문화재,문화유적/동상,37.5661569,126.9671166
문화재,동평관 터(東平館址),중구 마른내로 9,문화재,문화유적/동상,37.5638445,126.996235537949
문화재,만해 한용운 시비 ,중구 필동로1길 30 ,문화재,문화유적/동상,37.5569913,126.9994892
문화재,명례궁 터(明禮宮址),중구 세종대로21길 15 ,문화재,문화유적/동상,37.56693485,126.97542675
문화재,목멱산 봉수대 터(木覓山烽燧臺址),중구 남산공원길 507,문화재,문화유적/동상,37.5545516,126.9934129
문화재,무교 터(武橋址),중구 무교로 15,문화재,문화유적/동상,37.5675475,126.9791037
문화재,박웅진 시비,중구 을지로 227 ,문화재,문화유적/동상,37.565877,126.9802901
문화재,박팽년 집터(朴彭年家址),중구 퇴계로 36-10,문화재,문화유적/동상,37.5596957,126.9809292
문화재,반공청년운동 기념비,중구 소파로4길,문화재,문화유적/동상,37.55959,126.9884133
문화재,배제학당 터?남궁억 집터,중구 서소문로11길,문화재,문화유적/동상,37.5642501,126.9728393
문화재,백범 김구선생 상 ,중구 소파로 46,문화재,문화유적/동상,37.55614,126.97913
문화재,부민관 폭파 의거 터 (府民館爆破義擧址),중구 세종대로 125,문화재,문화유적/동상,37.5644624,126.977128
문화재,상진집 터(尙震家址),중구 남대문로 26-2,문화재,문화유적/동상,37.5604407,126.9759197
문화재,서소문역 터,중구 통일로,문화재,문화유적/동상,37.5600844,126.9711346
문화재,서학당 터(西學堂址),중구 세종대로21길 49,문화재,문화유적/동상,37.5676145,126.9757627
문화재,선혜청 터(宣惠廳址),중구 남대문시장 4-28-16,문화재,문화유적/동상,37.5589236,126.9764402
문화재,성제 이시영선생 상,중구 소파로 46,문화재,문화유적/동상,37.55614,126.97913
문화재,소덕문 터(昭德門址),중구 서소문동 58-10 ,문화재,문화유적/동상,37.5542791,126.9753578
문화재,손기정 흉상 ,중구 손기정로 101 ,문화재,문화유적/동상,37.5552947,126.963736
문화재,손탁호텔 터,중구 정동길 26,문화재,문화유적/동상,37.5665663,126.9709728
문화재,수렛골(車洞),중구 서소문로 89,문화재,문화유적/동상,37.5615397,126.9681288
문화재,순청 터(巡廳址),중구 통일로2길,문화재,문화유적/동상,37.5611565,126.9717329
문화재,시위병영 터(侍衛兵營址),중구 서소문로 100,문화재,문화유적/동상,37.5615397,126.9681288
문화재,쌍회정 터(雙檜亭址),중구 퇴계로6길 36,문화재,문화유적/동상,37.5572539,126.9785719
문화재,안중근의사 상 ,중구 소월로 91 ,문화재,문화유적/동상,37.55587,126.97687
문화재,양성지 살던 곳,중구 충무로 42,문화재,문화유적/동상,37.5663018,126.9926457
문화재,양향청 터(糧餉廳址),중구 마른내로,문화재,문화유적/동상,37.5643193,126.9973687
문화재,어서각 터(御書閣址),중구 정동길 9,문화재,문화유적/동상,37.5665663,126.9709728
문화재,염초청(焰硝廳) 터,중구 동호로 384,문화재,문화유적/동상,37.5525369,127.0124355
문화재,영희전 터(永禧殿址),중구 수표로 27,문화재,문화유적/동상,37.567547,126.9896042
문화재,예빈시 터(禮賓寺址),중구 세종대로 50,문화재,문화유적/동상,37.5557037,126.9721937
문화재,외솔 최현배선생 기념비 ,중구 동호로 261 ,문화재,문화유적/동상,37.5525369,127.0124355
문화재,유관순 상 ,중구 장충단로 101 ,문화재,문화유적/동상,37.5601768,127.005621
문화재,유성룡 집터(柳成龍家址),중구 퇴계로 173,문화재,문화유적/동상,37.5596957,126.9809292
문화재,유정 사명대사 상 ,중구 동호로 261,문화재,문화유적/동상,37.5525369,127.0124355
문화재,윤관장군 상 ,중구 칠패로 5 ,문화재,문화유적/동상,37.5594426,126.9689088
문화재,윤선도선생 집터(尹善道先生家址),중구 명동길 73,문화재,문화유적/동상,37.564327,126.9860873
